learner,corpus,k_shot,method,mse_mean,mse_sem,mse_ci95,mae_mean,mae_sem,mae_ci95,delta_l2_mean,delta_l2_sem,delta_l2_ci95,delta_geo_mean,delta_geo_sem,delta_geo_ci95,seed_count
B2,T1,24,inner,0.09293051455169916,0.003431062370931541,0.0067248822470258205,0.2393988718589147,0.004493597267822204,0.00880745064493152,4.807209050655365,0.12707543370127353,0.2490678500544961,0.04234749733780821,0.0030161986538583974,0.005911749361562459,60
B2,T1,24,none,0.10374814147750537,0.0056324046632889166,0.011039513140046276,0.2509581744670868,0.007390963554767743,0.014486288567344777,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T1,24,ridge,0.0749903542920947,0.0019677362219121916,0.0038567629949478955,0.21583632503946623,0.0028215654399938186,0.0055302682623878845,0.2355358384549618,0.010361969185930799,0.020309459604424367,0.046350130811333656,0.005663138928356593,0.011099752299578922,60
B2,T2,1,geo,0.5408014183243116,0.03249902593245677,0.06369809082761527,0.5712116897106171,0.017702046957072635,0.03469601203586237,0.10897757738518218,0.010243968232130935,0.02007817773497663,0.3034739350200804,0.04590992648251146,0.08998345590572246,60
B2,T2,1,inner,0.5061671470602354,0.02637070848926209,0.051686588638953694,0.5496906970938047,0.01545297865456749,0.030287838162952278,0.07579263457209891,0.007454285399920381,0.014610399383843948,0.15353346517940689,0.02322673127877852,0.045524393306405904,60
B2,T2,1,none,0.5510669449965159,0.016902071628412226,0.03312806039168796,0.5807987451553345,0.010322599343917268,0.020232294714077843,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T2,1,ridge,0.5572324072321256,0.03498475110748529,0.06857011217067117,0.5811268657445907,0.01864050597911978,0.036535391719074765,0.116474920463952,0.011438603944439985,0.02241966373110237,0.36293196491146273,0.054863789144206115,0.10753302672264399,60
B2,T2,4,geo,0.9686365564664204,0.1636332902449402,0.3207212488800828,0.6886856426795324,0.05207859383585623,0.1020740439182782,0.8136687738200029,0.09105148018686761,0.1784609011662605,0.342130623323222,0.04073946227899103,0.07984934606682241,60
B2,T2,4,inner,0.6945609929660956,0.09690289922836708,0.18992968248759948,0.6020097762346268,0.03799681911657998,0.07447376546849677,0.5776557308932145,0.06460852774407064,0.12663271437837845,0.17303105611354114,0.020607201774323673,0.0403901154776744,60
B2,T2,4,none,0.5510669449965159,0.016902071628412226,0.03312806039168796,0.5807987451553345,0.010322599343917268,0.020232294714077843,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T2,4,ridge,0.649550873786211,0.0738630179245379,0.14477151513209427,0.5974446316560109,0.033400982096913105,0.06546592490994968,0.43524413791795574,0.029096182708473018,0.05702851810860712,0.3436832869425416,0.04343438197707775,0.08513138867507239,60
B2,T2,8,geo,0.8468158431351185,0.13931304453553667,0.27305356728965186,0.6471029981970787,0.043283012865137464,0.08483470521566942,2.978159560263157,0.24884749298570127,0.4877410862519745,0.36173550263047216,0.028209909558950415,0.055291422735542814,60
B2,T2,8,inner,0.5902738561232884,0.07539258038385498,0.14776945755235574,0.5594496821363767,0.030170199367060054,0.05913359075943771,2.089961612721284,0.1737915897724021,0.3406315159539081,0.18234630627557635,0.014222025069826949,0.02787516913686082,60
B2,T2,8,none,0.5510669449965159,0.016902071628412226,0.03312806039168796,0.5807987451553345,0.010322599343917268,0.020232294714077843,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T2,8,ridge,0.4685075861712297,0.04151368626796577,0.08136682508521291,0.516699514289697,0.022925432395161715,0.04493384749451696,0.4884301021695137,0.022934383780138953,0.04495139220907235,0.3001778176985681,0.026272634897818007,0.05149436439972329,60
B2,T2,16,geo,0.503874480475982,0.04527689521934403,0.08874271462991429,0.5281810402870178,0.02358701152947329,0.04623054259776765,9.840446090698242,0.48917317454937165,0.9587794221167684,0.37957184165716173,0.021673383287018986,0.04247983124255721,60
B2,T2,16,inner,0.36612036352356275,0.02544507065645141,0.04987233848664476,0.45591471989949545,0.016280415344910277,0.03190961407602414,6.102131036917369,0.3007234592758822,0.5894179801807291,0.18594099916517734,0.01073388839219695,0.021038421248706023,60
B2,T2,16,none,0.5510669449965159,0.016902071628412226,0.03312806039168796,0.5807987451553345,0.010322599343917268,0.020232294714077843,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T2,16,ridge,0.34460508277018864,0.028555234401393896,0.05596825942673204,0.4410867154598236,0.01908825327363018,0.037412976416315157,0.4811547463138898,0.017588563117100473,0.034473583709516926,0.2515919073174397,0.017873814917509542,0.0350326772383187,60
B2,T2,24,geo,0.5823137328028679,0.054352842689587365,0.10653157167159123,0.5639912401636441,0.02684289309099678,0.052612070458353685,18.550998616218568,0.9400987832623464,1.8425936151941988,0.41175568525989853,0.02139053482180882,0.04192544825074529,60
B2,T2,24,inner,0.3286250111957391,0.022207353059593177,0.04352641199680263,0.4324037750562032,0.015331959666207914,0.030050640945767513,8.446538313229878,0.43659085913276985,0.8557180839002289,0.18648591836293538,0.009847712838995836,0.019301517164431837,60
B2,T2,24,none,0.5510669449965159,0.016902071628412226,0.03312806039168796,0.5807987451553345,0.010322599343917268,0.020232294714077843,0.0,0.0,0.0,0.0,0.0,0.0,60
B2,T2,24,ridge,0.3006889964143435,0.023228716358929067,0.04552828406350097,0.41347899387280146,0.016638115165974417,0.03261070572530986,0.4735053276022275,0.016764465813101797,0.03285835299367952,0.2414288654923439,0.0166086643871634,0.032552982198840265,60
